경도,위도,최대수용인원,도로명주소,대피소 종류,시설면적(㎡),운영상태
129.01656276752442,35.11220480341065,240,부산광역시 서구 구덕로 317-1 ,민방위,198.0,사용중
129.0151208456589,35.11180283194796,784,부산광역시 서구 대영로45번길 53 ,민방위,647.0,사용중
129.01404110911938,35.11134649009555,860,부산광역시 서구 대영로27번길 40 ,민방위,709.58,사용중
129.01253102480453,35.11195215483163,175,부산광역시 서구 망양로11번길 6 ,민방위,145.0,사용중지
129.01410293415452,35.111638106466195,156,부산광역시 서구 구덕로321번길 50 ,민방위,129.0,사용중
129.0115495295275,35.11791452020031,6060,부산광역시 서구 꽃마을로 43 ,민방위,5000.0,사용중지
129.01204498745753,35.1206134432077,3092,"부산광역시 서구 보수대로320번길 11,  2층 ",민방위,2550.91,사용중
129.0098971417308,35.12133340484242,10460,부산광역시 서구 꽃마을로 88-7 ,민방위,8630.0,사용중지
129.0213075557836,35.10714692467887,467,부산광역시 서구 흑교로105번길 10 ,민방위,386.0,사용중지
129.0211567809199,35.10527669293146,781,부산광역시 서구 보수대로 105-1 ,민방위,644.64,사용중지
129.01914829521954,35.10295644278682,389,부산광역시 서구 임시수도기념로 11-10 ,민방위,321.28,사용중
129.0206729696154,35.10486455919716,800,부산광역시 서구 구덕로226번길 9 ,민방위,660.0,사용중지
129.01936051043538,35.102582534976264,834,부산광역시 서구 구덕로199번길 10 ,민방위,688.72,사용중
129.02038667143546,35.1026662418393,485,부산광역시 서구 대청로6번길 14 ,민방위,400.47,사용중
129.0111356461209,35.104046891167464,969,"부산광역시 서구 까치고개로 102,  1층 ",민방위,800.0,사용중
129.0108119355228,35.10464691657205,796,"부산광역시 서구 까치고개로 91,  1층 ",민방위,657.0,사용중
129.01898080854676,35.09417755778198,115,"부산광역시 서구 해돋이로 192, 1층 ",민방위,95.0,사용중
129.02327432977074,35.099468823499734,400,"부산광역시 서구 까치고개로 252, 한국전력중부산지점 ",민방위,330.0,사용중
129.02449003011358,35.09878906234335,1087,"부산광역시 서구 보수대로 21, 한국전력공사남부건설본부 ",민방위,897.0,사용중지
129.02102777803225,35.09723487169907,240,부산광역시 서구 구덕로 135-8 ,민방위,198.0,사용중
129.0243554363826,35.09353305952579,1000,부산광역시 서구 충무대로256번길 7 ,민방위,825.0,사용중지
129.0251798373983,35.09469456200714,680,부산광역시 서구 해안새벽시장길 36 ,민방위,561.0,사용중지
129.02328254830104,35.09320835150313,600,부산광역시 서구 충무대로255번길 9 ,민방위,495.0,사용중
129.02413679660907,35.09263918986084,12121,부산광역시 서구 충무대로 246 ,민방위,10000.0,사용중
129.0243616421073,35.0914507876409,8484,부산광역시 서구 충무대로 234 ,민방위,7000.0,사용중
129.01921046370114,35.08299792991085,280,부산광역시 서구 해돋이로22번길 3-4 ,민방위,231.0,사용중
129.02475514801705,35.08257264525633,9596,부산광역시 서구 충무대로 133 ,민방위,7917.0,사용중
129.02438323405016,35.087178977438995,1288,부산광역시 서구 충무대로 185 ,민방위,1063.0,사용중
129.02517747476278,35.08298361354191,3300,부산광역시 서구 충무대로 140-0 ,민방위,2723.0,사용중지
129.02484752095964,35.08580146615345,347,부산광역시 서구 충무대로 170 ,민방위,287.0,사용중
129.02429102410272,35.08671575582332,5195,부산광역시 서구 충무대로 181 ,민방위,4286.0,사용중
129.01673505736125,35.07788611047532,1000,부산광역시 서구 충무대로34번길 15 ,민방위,825.0,사용중
129.01622184790966,35.07632201342217,4120,부산광역시 서구 충무대로 8 ,민방위,3399.0,사용중
129.0165438401754,35.08006365732881,231,부산광역시 서구 암남로8번길 32 ,민방위,191.0,사용중
129.01934431525407,35.08062791951855,1840,부산광역시 서구 천해로7번길 55-16 ,민방위,1518.0,사용중지
129.02064685705346,35.114040074358655,210,"부산광역시 서구 보수대로 210, 1층 ",민방위,173.39,사용중
