연번,단지명,주소,동수,층수,연면적,세대수
43,타크빌,부산광역시 연제구 연산5동 1481-13,1,10,2575.389,64
43,아시아드원룸,부산광역시 연제구 거제2동 894-1,1,5,504.943,20
43,흑석하늘정원,부산광역시 연제구 연산5동 1384-4,1,6,776.625,20
43,경성리츠,부산광역시 연제구 연산9동 478-2,1,15,4781.3666,44
43,캐슬하우스,부산광역시 연제구 연산5동 1492-7,1,5,711,28
43,스위트빌,부산광역시 연제구 연산5동 1492-10,1,6,627.14,20
43,올리브,부산광역시 연제구 거제1동 340-1,1,5,462.12,20
43,aurum,부산광역시 연제구 연산5동 1259-2,1,10,1763.88,49
43,샘터,부산광역시 연제구 거제1동 89-24,1,5,703.68,24
43,제니스빌,부산광역시 연제구 연산5동 1503-13,1,6,616.21,20
43,에이스빌,부산광역시 연제구 연산5동 1306-31,1,7,877.99,24
43,블루하우스,부산광역시 연제구 연산5동 1503-19,1,6,629.96,20
43,로얄캐슬2,부산광역시 연제구 연산2동 866-3,1,6,553.325,20
43,연산리치빌,부산광역시 연제구 연산5동 1293-29,1,6,707.1,24
43,더페이스,부산광역시 연제구 연산5동 1288-6,2,6,828.66,28
43,유림드림빌,부산광역시 연제구 연산5동 1492-9,1,6,655.19,20
43,연산블리체,부산광역시 연제구 연산5동 710-12,1,5,658.23,24
43,해운그린빌,부산광역시 연제구 연산5동 1481-8,1,9,1398.08,23
43,유림드림빌2,부산광역시 연제구 연산5동 1492-23,1,6,577.26,20
43,예림,부산광역시 연제구 거제1동 207-45,1,5,576.675,23
43,은하수빌,부산광역시 연제구 연산5동 710-9,1,7,789.18,20
43,유림가온빌,부산광역시 연제구 연산5동 1310-22,1,6,327.49,20
43,코너스톤원룸,부산광역시 연제구 연산5동 1503-18,1,6,609.2,20
43,신우피렌체아파트,부산광역시 연제구 연산5동 1481-9,1,13,7340.25,48
43,하이트빌B동,부산광역시 연제구 연산5동 1405-25,1,6,643.57,20
43,KH파인빌,부산광역시 연제구 연산5동 1289-1,1,12,5641.35,63
43,연제하이츠,부산광역시 연제구 연산5동 1386-27,1,6,895.35,24
43,캐슬빌리지,부산광역시 연제구 연산5동 1310-73,1,6,672.73,21
43,월컴하우스,부산광역시 연제구 연산1동 332-12,1,5,438.66,20
43,하이트빌A동,부산광역시 연제구 연산5동 1405-38,1,6,631.84,20
43,더휴,부산광역시 연제구 연산5동 1288-1,1,10,1906.82,28
43,세경월드빌,부산광역시 연제구 연산5동 1259-9,1,7,918.26,20
43,한아름빌,부산광역시 연제구 거제1동 112-5,1,6,766.1,22
43,해피하우스,부산광역시 연제구 연산4동 649-4,1,5,471.45,21
