학교명,도로명주소,위도,경도
구포중학교,부산광역시 북구 백양대로1016번다길 31,35.19495587,128.9964987
반여고등학교,부산광역시 해운대구 반여로 136,35.20295915,129.1265612
용산초등학교,부산광역시 남구 동명로 176번길 55,35.11653695,129.1160682
모덕초등학교,부산광역시 사상구 덕상로 120,35.18270148,128.9919381
대진전자통신고등학교,부산광역시 금정구 수림로 92,35.24150549,129.0818052
남도여자중학교,부산광역시 영도구 남도여중길 130,35.0870604,129.0455444
동성초등학교,부산광역시 부산진구 동성로 26,35.15268615,129.0695011
신도중학교,부산광역시 해운대구 좌동순환로 50,35.17058579,129.1674405
용문중학교,부산광역시 남구 동명로101번길 93,35.1251995,129.1069007
거제여자중학교,부산광역시 연제구 금용로 43,35.187762,129.0634379
정관고등학교,부산광역시 기장군 정관읍 정관로 534,35.3220883,129.170237
부산여자고등학교,부산광역시 사하구 낙동대로520번길 36,35.11150068,128.9674864
동신중학교,부산광역시 동래구 충렬사로51번길 38,35.20596274,129.0976723
좌동초등학교,부산광역시 해운대구 세실로 127,35.17601553,129.1751421
연제중학교,부산광역시 연제구 쌍미천로 62,35.1792871,129.0897786
봉래초등학교,부산광역시 중구 대영로 226번길 15호,35.11139514,129.0355665
해운대관광고등학교,부산광역시 해운대구 우동2로60번길 38,35.17052556,129.1571278
내성고등학교,부산광역시 금정구 서동로31번길 11,35.22138302,129.0927454
양덕초등학교,부산광역시 북구 팽나무로 58,35.205895,129.0118896
장산중학교,부산광역시 해운대구 선수촌로 47,35.19878198,129.1177118
신정고등학교,부산광역시 기장군 정관읍 정관3로 14,35.32826001,129.1667905
장전중학교,부산광역시 금정구 금샘로18번길 39,35.22878812,129.0779437
절영초등학교,부산광역시 영도구 함지로 37,35.07288845,129.063044
선화여자중학교,부산광역시 동구 초량로80번길 5,35.1210635,129.0329123
해송초등학교,부산광역시 해운대구 좌동순환로402번길 32,35.16424597,129.179501
예원초등학교,부산광역시 동래구 사직로 78,35.19588224,129.0573916
부산백양고등학교,부산광역시 북구 백양대로1016번길 64,35.19695301,128.9975453
경일중학교,부산광역시 강서구 명지국제6로 149,35.09406962,128.9162897
구남초등학교,부산광역시 북구 구남로14번가길 23,35.20029222,128.9935700365
연일중학교,부산광역시 연제구 고분로 138,35.18482183,129.0971099
아미초등학교,부산광역시 서구 해돋이로 241,35.09811338,129.0163096
천마초등학교,부산광역시 서구 천해로7번길 38,35.08166097,129.0182257
하단중학교,부산광역시 사하구 하신번영로380번길 88,35.11106623,128.9599891
한얼고등학교,부산광역시 남구 고동골로69번가길 54,35.14615209,129.0713257
미남초등학교,부산광역시 동래구 충렬대로100번길 83,35.20368445,129.0728408
배정미래고등학교,부산광역시 남구 장고개로85번길 14-40,35.13109322,129.0680868
장전초등학교,부산광역시 금정구 수림로 90,35.24137313,129.082757
대저초등학교,부산광역시 강서구 대저로29번길 27,35.21610222,128.9553077
부산마케팅고등학교,부산광역시 부산진구 봉수로 13,35.15108044,129.0704528
분포초등학교,부산광역시 남구 분포로 41,35.12891273,129.1139761
금정전자고등학교,부산광역시 금정구 서금로 75,35.22173328,129.1073012
대남초등학교,부산광역시 남구 황령대로 343번길 9-55,35.14842182,129.0970107
학사초등학교,부산광역시 북구 용당로15번길 20,35.2314328,129.0080672
대천리초등학교,부산광역시 북구 산성로 87-10,35.2424129,129.0226389
운봉초등학교,부산광역시 해운대구 신반송로 11-20,35.22928255,129.1591831
용소초등학교,부산광역시 남구 수영로325번길 114,35.14284782,129.0995041
주례여자고등학교,부산광역시 사상구 가야대로366번길 146,35.14536511,129.0135597
양천초등학교,부산광역시 북구 덕천로 132,35.20952422,129.0193212
서명초등학교,부산광역시 금정구 명서로 48,35.2151646,129.094634
엄궁중학교,부산광역시 사상구 대동로 56,35.1348927,128.9748587
백양중학교,부산광역시 북구 상리로 70,35.20712747,129.0405619
