"읍면동별(1)",읍면동별(2),세대 (세대),인구 (명),인구 (명),인구 (명),한국인 (명),한국인 (명),한국인 (명),외국인 (명),외국인 (명),외국인 (명),65세이상 고령자 (명)
"읍면동별(1)",읍면동별(2),소계,소계,남,여,소계,남,여,소계,남,여,소계
"연제구",연산5동,10204,16717,7979,8738,16588,7924,8664,129,55,74,2742
"연제구",연산6동,8166,16801,8085,8716,16699,8051,8648,102,34,68,4253
"연제구",연산8동,6212,14201,6904,7297,14138,6875,7263,63,29,34,2720
"연제구",연산9동,14696,35192,16791,18401,35075,16750,18325,117,41,76,6789
"수영구",소계,85896,176812,83375,93437,175095,82609,92486,1717,766,951,38971
"수영구",남천1동,6326,14009,6440,7569,13853,6376,7477,156,64,92,2990
"수영구",남천2동,4929,12228,5729,6499,12091,5665,6426,137,64,73,2504
"수영구",수영동,7896,14800,7089,7711,14651,7012,7639,149,77,72,4431
"수영구",망미1동,12415,27523,13110,14413,27404,13078,14326,119,32,87,7050
"수영구",망미2동,4950,10779,5302,5477,10703,5270,5433,76,32,44,2517
"수영구",광안1동,14239,26079,12125,13954,25866,12031,13835,213,94,119,4964
"수영구",광안2동,9632,18994,8810,10184,18688,8676,10012,306,134,172,3788
"수영구",광안3동,5986,9680,4569,5111,9597,4534,5063,83,35,48,2177
"수영구",광안4동,6284,13825,6251,7574,13715,6207,7508,110,44,66,2871
"수영구",민락동,13239,28895,13950,14945,28527,13760,14767,368,190,178,5679
"사상구",소계,98621,212771,107440,105331,208298,105034,103264,4473,2406,2067,40878
"사상구",삼락동,3144,6202,3325,2877,5808,3099,2709,394,226,168,1501
"사상구",모라1동,12502,28282,14076,14206,27998,13961,14037,284,115,169,5752
"사상구",모라3동,6718,10462,4991,5471,10412,4977,5435,50,14,36,3774
"사상구",덕포1동,4278,9033,4633,4400,8683,4440,4243,350,193,157,1818
"사상구",덕포2동,5766,13172,6686,6486,12921,6545,6376,251,141,110,2598
"사상구",괘법동,12792,23172,11965,11207,22414,11602,10812,758,363,395,3685
"사상구",감전동,7237,13811,7379,6432,13318,7058,6260,493,321,172,3157
"사상구",주례1동,6436,15253,7778,7475,15160,7740,7420,93,38,55,2823
"사상구",주례2동,11285,23943,11949,11994,23075,11542,11533,868,407,461,3832
"사상구",주례3동,5741,13241,6479,6762,13154,6438,6716,87,41,46,2693
"사상구",학장동,12171,28860,14542,14318,28294,14129,14165,566,413,153,5419
"사상구",엄궁동,10551,27340,13637,13703,27061,13503,13558,279,134,145,3826
"기장군",소계,76853,179174,88992,90182,177125,87691,89434,2049,1301,748,29357
"기장군",기장읍,25598,53378,26043,27335,52846,25761,27085,532,282,250,11615
"기장군",장안읍,4732,8949,4947,4002,8608,4632,3976,341,315,26,2350
"기장군",정관읍,31904,82889,41085,41804,81932,40501,41431,957,584,373,9080
"기장군",일광면,10728,25983,12871,13112,25817,12779,13038,166,92,74,3758
"기장군",철마면,3891,7975,4046,3929,7922,4018,3904,53,28,25,2554
